example_id,pair_id,customer_tweet_id,customer_text_raw,customer_text_clean,prior_context,n_prior_context_turns,brand_reply_raw,provisional_intent,provisional_confidence,sampling_reason,labeling_status,gold_intent,gold_action,gold_escalation_rationale,label_confidence,annotator_notes
GOLD_0014,AmazonHelp_2742926_2742927,2742926,@AmazonHelp Can you send me the details for head office please. I have called this contact us page 3 times and not been able to speak to anyone that can understand my issue.,Can you send me the details for head office please. I have called this contact us page 3 times and not been able to speak to anyone that can understand my issue.,"[{'tweet_id': 2742922, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@767775 Let us look further into this with you when you have time  https://t.co/hApLpMlfHN\n^DJ'}
 {'tweet_id': 2742923, 'author_id': '767775', 'inbound': True, 'text': '@AmazonHelp I have already called customer service today and spent over an hour on the phone. They do not understand and their only solution was to charge me again for the 4th time. How do I get to speak to someone from a UK call centre?'}
 {'tweet_id': 2742925, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@767775 I'm sorry for the experience you've had. You can find our UK contact page here: https://t.co/JzP7hlA23B Let us know if you have any other questions or concerns! ^AJ""}]",3,"@767775 I'd like to have a specialist from our team look more into these charges and escalate on your behalf. In order for us to do so, please provide the requested details here: https://t.co/B9czWWZeGv and we'll get back to you as soon as possible. ^CS",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,escalate,insufficient_evidence,,"called 3 times, unresolved, wants head office"
GOLD_0015,AmazonHelp_1570746_1570749,1570746,@AmazonHelp Thanks the product has been delivered. How about order-403-5070317-4208355? When it will get delivered?,Thanks the product has been delivered. How about order-403-5070317-4208355? When it will get delivered?,"[{'tweet_id': 1570767, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@429382 We're working on your issue and we'll get in touch with an update shortly. ^SQ""}
 {'tweet_id': 1570748, 'author_id': '429382', 'inbound': True, 'text': '@AmazonHelp I am sick and tired of twitting, mailing and calling you folks. You  respond to twitter, calls and email but fail to resolve the problem.'}
 {'tweet_id': 1570745, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@429382 An email has already been sent with a reply. Kindly check it from the link shared here: https://t.co/NTkrxpsbHJ ^HR'}]",3,@429382 Please don’t provide your details here as we consider them to be personal information. Our page is visible to public. ^GS,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,auto_handle,,,new order delivery date question
GOLD_0016,AmazonHelp_1235570_1235573,1235570,"@AmazonHelp If you'd have looked at the screen shots,  you would easily be able to pull out the details.  
Check for __email__","If you'd have looked at the screen shots, you would easily be able to pull out the details. Check for __email__","[{'tweet_id': 1235572, 'author_id': '409804', 'inbound': True, 'text': ""@115850  if you can't handle customer service.  Stop this business in interiors.  #worstcustomerservice https://t.co/7WVgw6Xagq""}
 {'tweet_id': 1235569, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@409804 I'm sorry about the situation. Kindly share your details here: https://t.co/GIJyeYqKE0 and I'll look into this. ^SG""}]",2,"@409804 Please don't provide your details, we consider it personal information. Our Twitter page is visible to public. ^HD",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,escalate,insufficient_evidence,,"context-dependent, references screenshots not visible here"
GOLD_0017,AmazonHelp_296764_296766,296764,"@AmazonHelp Says shipped, suppose to be here 28th to the 3rd and doesn't give me a carrier or any info","Says shipped, suppose to be here 28th to the 3rd and doesn't give me a carrier or any info","[{'tweet_id': 296765, 'author_id': '186694', 'inbound': True, 'text': ""@AmazonHelp so I ordered something 2 weeks ago paid 56 bucks for prime shipping and I still haven't gotten it???? I want my money back""}
 {'tweet_id': 296763, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@186694 We're here to help, Chayse! Just to clarify, can you tell us if the delivery date has passed: https://t.co/PyACxvY8Qo? ^AL""}]",2,"@186694 When you get a chance, please reach us directly via phone or chat so we can look into this with you: https://t.co/dNXwBZPiM6 ^BV",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,auto_handle,,,"shipped, missing carrier info"
GOLD_0018,AmazonHelp_2722612_2722613,2722612,@AmazonHelp will i receive an email or will i be contacted here,will i receive an email or will i be contacted here,"[{'tweet_id': 2722609, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@149078 Hey Casey! Underneath the ""Sign In"" button it states ""If you don\'t have an account or can\'t access your account, you can skip sign in"" If you could do this, we will look into this further for you. Let me know how you get on. ^JC'}
 {'tweet_id': 2722610, 'author_id': '149078', 'inbound': True, 'text': '@AmazonHelp i have done this before and received an email from __email__ however they only said they will contact the account specialist who again sent me the same generic email'}
 {'tweet_id': 2722611, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@149078 This link brings you to a form to fill out that will be sent to a member of my team so it will be looked into personally. ^KH'}]",3,@149078 You will receive an update via e-mail. ^KI,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,auto_handle,,,process/channel question
GOLD_0019,AmazonHelp_294777_294779,294777,@AmazonHelp Yes I've done both and the advisors tell me to wait for a specialist to contact me and they never do,Yes I've done both and the advisors tell me to wait for a specialist to contact me and they never do,"[{'tweet_id': 294778, 'author_id': '186214', 'inbound': True, 'text': '@AmazonHelp hello I have been waiting for an account specialist to be in touch with me for 2 years now ☺'}
 {'tweet_id': 294776, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@186214 I'm sorry to hear this. Have you had a chance to call 888-282-2406 or e-mail in: https://t.co/59sdQ5wyNV? ^AF""}]",2,@186214 Sorry for this! I'd like a member of my team to look into this with you. Follow this to reach us: https://t.co/nh7DsNJq1k ^VB,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,escalate,insufficient_evidence,,promised specialist callback never happened
GOLD_0020,AmazonHelp_403506_403507,403506,@AmazonHelp Only mavic pro. Thanks anyway.,Only mavic pro. Thanks anyway.,"[{'tweet_id': 403503, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@211501 Sorry, I was unable to comprehend your concern. Could you elaborate on it? ^MA'}
 {'tweet_id': 403504, 'author_id': '211501', 'inbound': True, 'text': ""@AmazonHelp Dji phantom drones weren't available on amazonin. Are they available now since you showed one in the video lol""}
 {'tweet_id': 403505, 'author_id': 'AmazonHelp', 'inbound': False, 'text': '@211501 You might want to check these out: https://t.co/LreYA638RU. ^SQ'}]",3,@211501 Keep us posted for any further concerns. ^SQ,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,auto_handle,,,"closing remark, no new ask"
GOLD_0021,AmazonHelp_2742949_2742948,2742949,@115821 again they promise delivery Sunday &amp; yep no delivery,again they promise delivery Sunday &amp; yep no delivery,[],0,"@164469 I'm sorry for the delay! For clarification, was delivery ever attempted on Sunday? Also, what does the current tracking show? You can find tracking here: https://t.co/Y5jpI9gRhE ^KN",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,escalate,insufficient_evidence,,repeated broken delivery promise
GOLD_0022,AmazonHelp_304361_304363,304361,@AmazonHelp Shipped on 10/1 and then en route with expected delivery on 10/4. No information on where it’s at currently.,Shipped on 10/1 and then en route with expected delivery on 10/4. No information on where it’s at currently.,"[{'tweet_id': 304362, 'author_id': '188691', 'inbound': True, 'text': '@115821 Package was supposed to be deliver on 10/4, but hasn’t appeared. No info on my orders where it’s at. Who can I contact to find out?'}
 {'tweet_id': 304359, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@188691 We'd like to help. What does the status of your order state here: https://t.co/q4LAMZ3tbE? ^GG""}]",2,"@188691 We can take a closer look at the order. When you have time, give us a call. We're avail 24/7 here: https://t.co/hApLpMlfHN ^EP",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,auto_handle,,,"in-transit, no current location"
GOLD_0023,AmazonHelp_164952_164951,164952,Really #annoyed w @115830!! Need @AmazonHelp bcuz 2nd delivery attempt failed (again). Live in new housing area &amp; postcode sends driver 2wrong area. Need my delivery today!!! Why can’t they call me 4 directions?!,Really #annoyed w !! Need bcuz 2nd delivery attempt failed (again). Live in new housing area &amp; postcode sends driver 2wrong area. Need my delivery today!!! Why can’t they call me 4 directions?!,[],0,"@154233 I'm sorry your order had another failed delivery attempt, Shelly! We'd like to take a look into this and available options with you. When you're available, please get in touch with us here: https://t.co/JzP7hlA23B ^TH",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,DELIVERY_QUALITY_ISSUE,escalate,insufficient_evidence,,"2nd failed delivery attempt, wrong area routing"
GOLD_0024,AmazonHelp_2913156_2913158,2913156,"@AmazonHelp In stock and Fulfilled by Amazon, still showing the same.
Standard shipping is actually from the 5th, so before you state my Expedited will dispatch... https://t.co/rGYqnhzRhf","In stock and Fulfilled by Amazon, still showing the same. Standard shipping is actually from the 5th, so before you state my Expedited will dispatch... [URL]","[{'tweet_id': 2913157, 'author_id': '806440', 'inbound': True, 'text': ""Why did I pay for expedited shipping 1-11th Dec when it says it won't be dispatched until 5th Dec!? \nStandard delivery was 6-11th anyway @AmazonHelp https://t.co/w4uWCQIVvN""}
 {'tweet_id': 2913155, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@806440 Did you check the availability estimate when you placed the order? Please let us know whether it's fulfilled by Amazon or a third party seller. ^LN""}]",2,@806440 Items can dispatch from the time they're ordered until the day they arrive. Please keep us updated on the arrival of your order. ^DG,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,auto_handle,,,dispatch date discrepancy vs listing
GOLD_0025,AmazonHelp_1312994_1312995,1312994,@AmazonHelp Hope u hv got by now?,Hope u hv got by now?,"[{'tweet_id': 1281375, 'author_id': '419800', 'inbound': True, 'text': 'Hello @115850 not got ny cashback as per offer fr 408-2516560-2170748. No one responds from CS team evn after reminders. #AmazonFAKEOffers'}
 {'tweet_id': 1281377, 'author_id': '419800', 'inbound': True, 'text': '@115850 Provided. Now wt next ?'}
 {'tweet_id': 1312993, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@419800 I just checked and we haven't received your details, please share them here: https://t.co/GIJyeYqKE0. We'll help. ^PS""}]",3,@419800 Thanks for sharing your details. We'll get in touch with you soon. Appreciate your patience. ^AK,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,ACKNOWLEDGEMENT_FOLLOWUP,auto_handle,,,"vague check-in, no new content"
GOLD_0026,AmazonHelp_2600917_2600915,2600917,"@116618   my AP Video site won’t even load at all on either of my smart TV.s.  Watched last night, got error messages this morning. Still not right at 11pm. Thx.","my AP Video site won’t even load at all on either of my smart TV.s. Watched last night, got error messages this morning. Still not right at 11pm. Thx.",[],0,"@736204 Hi Robin, what sort of error messages are you receiving when you try to watch your Prime Video? ^PJ",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,DIGITAL_CONTENT_DEVICE,auto_handle,,,Prime Video won't load on smart TVs
GOLD_0027,AmazonHelp_1937784_1937782,1937784,Leave it up to the @118706 to screw up my @117093 @115851 3 deliveries &amp; still no pick up of totes from previous deliveries!,Leave it up to the to screw up my 3 deliveries &amp; still no pick up of totes from previous deliveries!,[],0,@576442 I'm sorry the totes haven't been picked up! Have you reached us directly regarding this: https://t.co/hApLpMlfHN? ^SB,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,DELIVERY_QUALITY_ISSUE,escalate,insufficient_evidence,,multiple failed deliveries + uncollected totes
GOLD_0028,AmazonHelp_226642_226641,226642,@115850 please add a filter option to choose made in India #MadeInIndia,please add a filter option to choose made in India #MadeInIndia,[],0,@170101 Thank you for your feedback. I'll pass this to the concerned team internally so that they can have a look at this. ^AU,OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,OTHER_UNCLEAR,auto_handle,,,"feature request, not a problem report"
GOLD_0029,AmazonHelp_49129_49128,49129,"So frustrating @115830 I wanted to pick up my parcel tonight, it’s been returned? “Pickup window ended tomorrow” ! https://t.co/0HsiDIPHnf","So frustrating I wanted to pick up my parcel tonight, it’s been returned? “Pickup window ended tomorrow” ! [URL]",[],0,"@126975 Oh no! I'm very sorry for the troubles with this Locker pickup, Leigh! Have you been in touch with us for real-time help? ^FR",OTHER_UNCLEAR,0.4,stratified_proportional,claude_reviewed_not_independent_human,REFUND_RETURN,escalate,insufficient_evidence,,confusing return-pickup window messaging
GOLD_0030,AmazonHelp_17634_17633,17634,"@115850 I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?","I am a amazon prime user, I don’t see great offers nor I see any difference between prime and non prime, what’s the point then ?",[],0,@119901 know more prime benefits here: https://t.co/SNrRNxbF4n 2/2 ^SH,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,auto_handle,,,benefits explanation request
GOLD_0031,AmazonHelp_2504955_2504953,2504955,@116090 this is like the third time I've payed for 1 day shipping and had the courier with an estimate for 3. If I pay for 1 day shipping it's because it's time sensitive. What's the point of prime if you can't meet what you advertise?,this is like the third time I've payed for 1 day shipping and had the courier with an estimate for 3. If I pay for 1 day shipping it's because it's time sensitive. What's the point of prime if you can't meet what you advertise?,[],0,"@714329 I'm sorry to hear this is a repeat issue for you, Benjamin. We'd certainly like to help, if we can. Is this something you see coming most often from one particular courier? You can see the couriers assigned to your orders here: https://t.co/PyACxvY8Qo ^BL",PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,escalate,novel_unsupported,,repeated (3rd time) systemic shipping-promise failure
GOLD_0032,AmazonHelp_362439_362438,362439,The best thing about Amazon Prime is Marathi movies on @119625. It's pretty hard to find them online otherwise.,The best thing about Amazon Prime is Marathi movies on . It's pretty hard to find them online otherwise.,[],0,@201842 We're glad to know you're happy with the content. We'll keep on adding more exciting content! ^ZH,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,OTHER_UNCLEAR,auto_handle,,,"positive comment, no support need"
GOLD_0033,AmazonHelp_1231235_1231234,1231235,@AmazonHelp is this how you get people to pay for prime membership?by not letting them cancel the free trial?been doing this since i got it😡 https://t.co/HeYryajRFt,is this how you get people to pay for prime membership?by not letting them cancel the free trial?been doing this since i got it😡 [URL],[],0,@408792 I'm sorry for the frustration! You can manage your Prime Membership here: https://t.co/rXUboM0Xru ^AC,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,auto_handle,,,"trial cancellation steps request, despite dark-pattern accusation"
GOLD_0034,AmazonHelp_1191320_1191319,1191320,@121284 Will prime music available with Amazon echo?,Will prime music available with Amazon echo?,"[{'tweet_id': 1191321, 'author_id': '121284', 'inbound': True, 'text': 'Need a heads up on the weather? #AskAlexa \nTo know more visit: https://t.co/a1jBQJ7hfZ https://t.co/fsqBRvjsKL'}]",1,@318700 Amazon Prime Music will be available to Indian Prime Members exclusively on echo devices starting 10/31.^VH,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRODUCT_INFO_QUESTION,auto_handle,,,pre-purchase compatibility question
GOLD_0035,AmazonHelp_2645582_2645581,2645582,Great to celebrate the release of #PokemonUltraSunMoon waiting all day for my pre-order and it never comes. Reminds me why I bought @115830 Prime.,Great to celebrate the release of #PokemonUltraSunMoon waiting all day for my pre-order and it never comes. Reminds me why I bought Prime.,[],0,@746410 I'm sorry your order hasn't arrived. What delivery date was provided in your order confirmation e-mail? Are there any tracking updates here: https://t.co/aaDyEz1VgE? ^RA,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,ORDER_STATUS,escalate,insufficient_evidence,,pre-order never arrived on release day
GOLD_0036,AmazonHelp_472349_472348,472349,"ho well it looks like @115830 Prime was good whilst it lasted.  What happened to Prime next day delivery, its now always for 3 days time ?","ho well it looks like Prime was good whilst it lasted. What happened to Prime next day delivery, its now always for 3 days time ?",[],0,"@227489 Hi Dave. Next day delivery starts as soon as the item is marked as dispatched. Depending on the item, some orders require longer in the dispatch process. ^NV",PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,auto_handle,,,Prime next-day delivery promise degraded to 3 days
GOLD_0037,AmazonHelp_322618_322617,322618,"@AmazonHelp @115850   Will leave my prime membership, since u r irresponsible, will never recommend this to anyone https://t.co/fDN4UPkN4H","Will leave my prime membership, since u r irresponsible, will never recommend this to anyone [URL]",[],0,@192848 I'm sorry about the unpleasant experience. I have forwarded your comment as feedback to the concerned team for review. ^HA,PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,PRIME_MEMBERSHIP,auto_handle,,,"stated intent to cancel, standard retention response"
GOLD_0038,AmazonHelp_1668911_1668910,1668911,@115850 @115851 I bring an amazon prime member (__email__) feels cheated as a customer using amazon services .Pathetic servc,I bring an amazon prime member (__email__) feels cheated as a customer using amazon services .Pathetic servc,[],0,"@508190 Please don't provide your email address, we consider it to be personal information. Our page is visible to the public. 2/2 ^RI",PRIME_MEMBERSHIP,0.75,stratified_proportional,claude_reviewed_not_independent_human,COMPLAINT_SERVICE_QUALITY,auto_handle,,,"Prime member dissatisfaction, no concrete transactional ask"
GOLD_0039,AmazonHelp_227035_227037,227035,"@AmazonHelp Point noted, thank u...d tweet is now deleted. I hope you could help me return this product","Point noted, thank u...d tweet is now deleted. I hope you could help me return this product","[{'tweet_id': 227036, 'author_id': '170159', 'inbound': True, 'text': '@AmazonHelp return order placed long ago on this order, no one turns up to pick up d return\nCud u help pls? https://t.co/bEQK4bUYqp'}
 {'tweet_id': 227034, 'author_id': 'AmazonHelp', 'inbound': False, 'text': ""@170159 Please don't provide your order details, as we consider it to be personal information. Our Twitter page is public.\u200b (2/2) ^SI""}]",2,@170159 Definitely! Please reach out to us from the link here: https://t.co/TxK11znixD to assist further.^HR,REFUND_RETURN,0.75,stratified_proportional,claude_reviewed_not_independent_human,REFUND_RETURN,auto_handle,,,"wants to return product, standard flow"
